City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
250,uturoa,-16.7333,-151.4333,26.1,68,70,6.58,PF,1691013962
251,valley city,46.9233,-98.0032,31.29,58,20,3.09,US,1691013962
252,susuman,62.7833,148.1667,13.5,50,29,5.17,RU,1691013963
253,novyy urgal,51.0736,132.5642,14.72,72,81,2.0,RU,1691013963
254,iskateley,67.6803,53.1512,18.16,69,8,3.78,RU,1691013964
255,kivioli,59.3531,26.9711,16.01,97,100,3.01,EE,1691013964
256,isangel,-19.55,169.2667,23.08,76,100,9.45,VU,1691013964
257,musoma,-1.5,33.8,21.82,69,97,2.16,TZ,1691013965
258,portland,45.5234,-122.6762,33.07,31,0,3.6,US,1691013965
259,paracuru,-3.41,-39.0306,27.28,86,50,6.27,BR,1691013966
260,gavrilov posad,56.5597,40.1175,16.18,96,3,2.2,RU,1691013966
261,palikir - national government center,6.9248,158.1611,27.41,89,100,2.57,FM,1691013967
262,leshan,29.5623,103.7639,22.98,94,43,0.1,CN,1691013805
263,sachin,21.0833,72.8833,26.64,83,100,6.99,IN,1691013968
264,taltal,-25.4,-70.4833,16.23,78,23,0.54,CL,1691013968
265,mokhsogollokh,61.4681,128.9203,14.21,67,71,1.0,RU,1691013969
266,happy valley-goose bay,53.3168,-60.3315,16.17,72,75,3.09,CA,1691013969
267,madang,-5.2246,145.7966,25.88,88,82,0.35,PG,1691013970
268,daru,-9.0763,143.2092,24.95,80,28,6.62,PG,1691013970
269,farafangana,-22.8167,47.8333,20.24,78,94,4.94,MG,1691013971
270,garissa,-0.4536,39.6401,23.33,73,93,7.83,KE,1691013828
271,flin flon,54.7682,-101.865,24.7,42,65,5.48,CA,1691013972
272,bazpur,29.15,79.1167,26.78,68,68,1.95,IN,1691013972
273,mirnyy,62.5353,113.9611,16.44,54,69,1.34,RU,1691013904
274,fort bragg,35.139,-79.006,30.51,45,0,3.09,US,1691013973
275,todos santos,23.45,-110.2167,31.36,71,80,2.9,MX,1691013973
276,port alfred,-33.5906,26.891,16.04,60,0,4.77,ZA,1691013973
277,umba,66.6871,34.3429,15.12,81,98,4.92,RU,1691013974
278,hobyo,5.3505,48.5268,25.5,76,100,10.95,SO,1691013974
279,mukalla,14.5425,49.1242,31.33,61,57,4.2,YE,1691013975
280,watford city,47.8022,-103.2832,32.31,54,20,3.09,US,1691013975
281,lakhdenpokh'ya,61.5198,30.1992,15.86,97,95,2.87,RU,1691013976
282,saint-joseph,-21.3667,55.6167,20.21,85,32,4.27,RE,1691013976
283,hithadhoo,-0.6,73.0833,26.92,75,79,1.81,MV,1691013977
284,goondiwindi,-28.55,150.3167,12.24,68,0,4.64,AU,1691013977
285,lerwick,60.1545,-1.1494,13.0,94,100,4.66,GB,1691013977
286,vilyuchinsk,52.9306,158.4028,13.15,97,100,1.27,RU,1691013978
287,dolores,-36.3132,-57.6792,13.17,52,99,5.73,AR,1691013979
288,vershino-darasunskiy,52.35,115.5167,13.5,47,100,3.56,RU,1691013980
289,egletons,45.4034,2.0507,13.84,89,46,4.01,FR,1691013980
290,queenstown,-31.8976,26.8753,8.61,43,0,2.69,ZA,1691013981
291,arauca,7.0847,-70.7591,27.6,84,68,1.49,CO,1691013981
292,ugoofaaru,5.6667,73.0,27.82,75,71,5.17,MV,1691013981
293,chilliwack,49.1747,-121.9443,29.32,39,49,2.68,CA,1691013982
294,sitka,57.0531,-135.33,16.94,77,40,3.6,US,1691013982
295,pont rouge,48.8833,-72.0825,19.79,51,41,3.01,CA,1691013983
296,alice springs,-23.7,133.8833,6.75,81,18,2.57,AU,1691013800
297,ingelfingen,49.301,9.6512,19.47,85,82,7.8,DE,1691013984
298,mana,5.6592,-53.7767,26.84,84,42,4.21,GF,1691013985
299,new norfolk,-42.7826,147.0587,10.72,79,100,1.93,AU,1691013985
300,roja,57.5,22.8167,15.86,83,45,4.43,LV,1691013985
301,linares,-35.85,-71.6,10.37,78,67,3.37,CL,1691013986
302,aswan,24.0934,32.907,36.01,15,4,3.38,EG,1691013986
303,chhutmalpur,30.0314,77.7525,26.42,83,24,0.98,IN,1691013987
304,primero de mayo,-32.2552,-58.4228,25.46,59,5,2.83,AR,1691013987
305,st. john's,47.5649,-52.7093,19.32,83,100,2.68,CA,1691013988
306,saldanha,-33.0117,17.9442,13.94,46,33,5.36,ZA,1691013988
307,namibe,-15.1961,12.1522,18.36,86,80,1.89,AO,1691013988
308,ruidoso,33.3317,-105.673,26.09,35,0,2.06,US,1691013989
309,blair,41.5444,-96.125,27.72,80,75,2.57,US,1691013989
310,touros,-5.1989,-35.4608,24.97,83,43,5.73,BR,1691013990
311,dryden,49.7833,-92.7503,31.29,27,37,7.67,CA,1691013990
312,hotan,37.0997,79.9269,27.04,29,95,6.75,CN,1691013918
313,malvan,16.0667,73.4667,25.88,85,94,6.86,IN,1691013784
314,kiknur,57.3034,47.2011,17.57,75,84,1.63,RU,1691013991
315,howard springs,-12.497,131.047,21.95,78,0,2.64,AU,1691013992
316,san sebastian de la gomera,28.0916,-17.1133,24.1,80,65,8.0,ES,1691013992
317,shanhaiguan,39.9988,119.7564,25.61,92,11,4.47,CN,1691013993
318,east london,-33.0153,27.9116,15.77,54,0,4.85,ZA,1691013994
319,takayama,36.1333,137.25,22.14,95,98,1.07,JP,1691013953
320,aginskoye,51.1,114.53,17.95,38,100,6.92,RU,1691013995
321,dublin,37.7021,-121.9358,29.72,52,0,7.72,US,1691013995
322,mu'minobod,38.1085,70.0285,24.35,27,0,2.74,TJ,1691013995
323,nyurba,63.2842,118.3319,15.24,64,24,1.77,RU,1691013996
324,sokoni,-6.4333,39.55,24.46,84,28,7.26,TZ,1691013996
325,pacific grove,36.6177,-121.9166,20.82,81,100,4.63,US,1691013996
326,vila franca do campo,37.7167,-25.4333,24.23,88,100,1.96,PT,1691013997
327,howrah,22.5892,88.3103,27.0,89,75,2.06,IN,1691013997
328,ginir,7.1333,40.7,14.06,82,98,4.3,ET,1691013998
329,sisimiut,66.9395,-53.6735,6.19,86,99,1.12,GL,1691013999
330,fort st. john,56.2499,-120.8529,19.93,59,56,1.87,CA,1691013999
331,bereznik,62.8551,42.7072,16.88,83,100,0.41,RU,1691014000
332,conception bay south,47.4999,-52.9981,19.19,85,100,4.8,CA,1691014000
333,raduzhny,62.0961,77.475,17.46,91,99,2.91,RU,1691014000
334,san patricio,28.017,-97.5169,36.77,43,3,7.71,US,1691014001
335,abu jibeha,11.4562,31.2285,21.67,93,99,1.01,SD,1691014001
336,axim,4.8699,-2.2405,24.44,84,81,3.65,GH,1691014002
337,san jose,37.3394,-121.895,29.19,49,20,8.23,US,1691014002
338,brookings,44.3114,-96.7984,31.21,55,0,0.45,US,1691014002
339,pombas,17.1503,-25.0201,25.88,82,31,4.72,CV,1691014003
340,xining,36.6167,101.7667,15.05,79,53,1.12,CN,1691014003
341,erenhot,43.6475,111.9767,26.76,46,47,3.65,CN,1691014003
342,tazacorte,28.629,-17.9293,24.53,82,20,6.69,ES,1691014004
343,sao joao dos patos,-6.495,-43.7022,26.75,36,24,1.18,BR,1691014005
344,lagos,6.5833,3.75,23.93,84,93,3.05,NG,1691014005
345,walvis bay,-22.9575,14.5053,18.38,19,0,2.6,NA,1691014005
346,bucerias,20.75,-105.3333,33.88,70,100,3.6,MX,1691014006
347,dogondoutchi,13.6393,4.0287,30.78,53,12,4.52,NE,1691014006
348,nuevitas,21.5453,-77.2644,30.02,71,77,4.0,CU,1691014006
349,coronel dorrego,-38.7187,-61.2873,6.73,71,5,3.17,AR,1691014007
350,saint-philippe,-21.3585,55.7679,20.77,86,68,3.6,RE,1691014007
351,jayapura,-2.5333,140.7,24.66,89,99,1.88,ID,1691013716
352,emerald,-23.5333,148.1667,14.08,74,0,5.75,AU,1691013735
353,haymana,39.4321,32.4973,21.35,35,0,1.5,TR,1691014008
354,jember,-8.166,113.7032,20.6,94,13,0.32,ID,1691014009
355,nogliki,51.8333,143.1667,13.76,84,68,6.35,RU,1691014009
356,koungou,-12.7336,45.2042,23.84,78,0,3.09,YT,1691014010
357,levin,-40.6333,175.275,5.95,82,94,5.37,NZ,1691014010
358,cacu,-18.5567,-51.1308,25.1,32,0,2.35,BR,1691014010
359,vorgashor,67.5833,63.95,17.36,79,4,3.71,RU,1691014011
360,sur,22.5667,59.5289,30.9,63,1,2.33,OM,1691014011
361,rabigh,22.7986,39.0349,31.58,47,3,3.13,SA,1691014011
362,guichon,-32.35,-57.2,21.66,75,1,2.73,UY,1691014012
363,nadi,-17.8,177.4167,27.0,57,20,7.72,FJ,1691014012
